judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Psychic Girl;Goodnight Electric;2000s Indonesian Indie;1bkO8Q7QcKXAsVYNsiAP0Z;['indonesian indie'];Kikaida Kamen Rider Inazuman Ultraman Nothing in this world able to conquer me  I'm a psychic girl I'm so beautiful Gonna lose the world I'm a psychic girl  Voltus five ...
I've Got Johnny in My Head;Teenage Death Star;2000s Indonesian Indie;5QPa0rmNEhWGjOChRu5EYS;['indonesian indie', 'indonesian punk', 'indonesian rock'];I've got Johnny in my head (Johnny in my head) When I'm feeling so bad (feelings so bad) I've got Johnny in my head (Johnny in my head) When I'm feelings so sad (feeling so sad)  I've got Johnny in my head (Johnny in my head) When I'm feeling so sad (feelings so sad) Woooooh  Johnny, Johnny, Johnny, Johnny Johnny, Johnny, Johnny, Johnny Johnny, come on  Oooh ...
Soul Sister;The SIGIT;2000s Indonesian Indie;2XfQR37b2P3rzqssXipMT7;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];Soul sister chilling in the street Around her midnight chase With her high heel shoe And her pale bold make up face  Soul sister working late Making money, have some fun yeah... She's like a walking time bomb blues In this sin city  Dunno what to do When she's sitting there alone with you Dunno what is she ...
Clove Doper;The SIGIT;2000s Indonesian Indie;20IYXkVlVgs5bSwAiJ043Z;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];There's a man with a friendly plea Who drinks cofee rather than tea I've been listening to his prophercy And I don't need another  He smokes super fine clove cigarette  There's a man fight for demand where I could never win a game My fist to protect, my hugs to attack How could you tell me who's to blame?  World is full of amateurs They're acting like a pro If I could talk like a holy man Can I be the cannonist too?  ...
Pop Kinetik;rumahsakit;2000s Indonesian Indie;5g2V3uYWkLJJYFDPsny0La;['indonesian indie', 'math rock'];Bunuh, bunuhlah aku Kalau kau bisa Silahkan saja  Serang, hantamlah saja Datang padaku Andai kau tahu  Akhirnya Baru kau mengerti Kalau ku bukan manusia biasa  ...
Bedroom Avenue;Goodnight Electric;2000s Indonesian Indie;3vKDuAMsNA44KU3ZkBImnr;['indonesian indie'];Your eyes, your lips You whisper to the air Night is gone Stars are falling down I kiss you so gently You smile for a while ...
Mata Berdebu;Sore;2000s Indonesian Indie;0ffIV3en4DBNZUlPXQQrRH;['indonesian folk pop', 'indonesian indie', 'indonesian indie pop'];Tak kupelajari di mana Pelangi itu Di antara kabut kucari Jemari itu  Dan aku tak bisa melangkah Di antara musafirnya  Sabar 'ku mendaki pusaran Puncak hatimu Kesan yang terjadi di ladang Lara batinku ...
A.S.T.U.R.O.B.O.T.;Goodnight Electric;2000s Indonesian Indie;24UFVDdCcKNnP5EUp7v150;['indonesian indie'];Oh you're so cool Everything's so similar Now that I knew You're the one it's in the tube  Go! Don't be scared I will catch and drive you someday We will be together Gonna make a million lies Yeah as you know it It's beautiful to make them happy  Please drink no more I'll treat you right and say goodnight How it could be real Let me know and let me be ...
Mosque of Love;The Adams;2000s Indonesian Indie;0nkkIeiXvTx0cueKFmRPV0;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Sitting here in the mosque  Drawing with a bore Suddenly you come along  You call my name like a song Oh, I'm falling to the ground  I like the way you laughing  ...
Won't Be Easy;The Adams;2000s Indonesian Indie;5lL9tRMXK6HNDiHe8MlSzQ;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];I'm waiting for the world to change But everything just stays the same And nothing ever turns out right No matter how much I've tried Feels like time isn't on my side That's right  (Remember what your parents said) Dad would say that life is hard ...
Less Afraid;Sajama Cut;2000s Indonesian Indie;3e88hGhAYY2aBh3YAhlyCz;['indonesian indie'];It was the skies It was her scent and her life You could catch me of fall down  I guess it's been A little while since I've slept But I've dreamt you going down  Mistakes are made from the moment we met Mistakes are made to last Mistakes are met but are never acquired Pastiches, La mere – pisstakes are made  ...
Ode Buat Kota;Bangkutaman;2000s Indonesian Indie;2jkubtUODXk1fbYFx4z9US;['indonesian folk', 'indonesian indie', 'yogyakarta indie'];Na-na-na, na-na-na-na-na, na-na-na-na-na, na-na-na-na-na Na-na-na, na-na-na-na-na, na-na-na-na-na, na-na-na-na-na-na Na-na-na, na-na-na-na-na, na-na-na-na-na, na-na-na-na-na  'Tuk suara bising di tiap jalan 'Tuk suara kaki yang berlalu-lalang 'Tuk suara sirene raja jalanan 'Tuk suara sumbang yang terus berdentang  Na-na-na, na-na-na-na-na, na-na-na-na-na, na-na-na-na-na-na Na-na-na, na-na-na-na-na, na-na-na-na-na, na-na-na-na-na  Di sinilah aku dibesarkan Di hamparan sungai yang kian hitam Di ujung jalan sempit yang terus tergenang ...
